Orig,Annotator_1,Annotator_2,Annotator_3,File
0,o,o,zero,train
2loy,tuloy,tuloy,tuloy,train
2luyan,tuluyan,tuluyan,tuluyan,train
abutn,abutin,abutin,abutin,train
anq,anak,anak,ano ka,train
anu,ano,ano,ano,train
aq,ako,ako,ako,train
atlest,at least,at least,at least,train
awayn,awayin,awayin,awayin,train
b,ba,ba,ba,train
bbagyo,babagyo,babagyo,bumabagyo,train
bcos,because,because,because,train
bcoz,because,because,because,train
bgay,bagay,bagay,bagay,train
bgyo,bagyo,bagyo,bagyo,train
bgyong,bagyong,bagyong,bagyong,train
bhala,bahala,bahala,bahala,train
bhay,bahay,bahay,bahay,train
bk8,bakit,bakit,bakit,train
bka,baka,baka,baka,train
bkt,bakit,bakit,bakit,train
bqyo,bagyo,bagyo,bagyo,train
bta,bata,bata,bata,train
bwat,bawat,bawat,bawat,train
c,si,si,see,train
c0mplain,complain,complain,complain,train
c0ntr0l,control,control,control,train
cgro,siguro,siguro,siguro,train
cguro,siguro,siguro,siguro,train
cia,siya,siya,siya,train
cignal,signal,signal,signal,train
cla,sila,sila,sila,train
cmula,simula,simula,simula,train
cnabi,sinabi,sinabi,sinabi,train
d,di,di,hindi,train
d2,dito,dito,dito,train
da,the,dahil,the,train
dahel,dahil,dahil,the hell,train
dahl,dahil,dahil,dahil,train
dba,diba,diba,diba,train
dhil,dahil,dahil,dahil,train
dn,din,din,din,train
dnt,don't,don't,do not,train
donot,do not,do not,do not,train
dpat,dapat,dapat,dapat,train
dretso,diretso,diretso,diretso,train
drtso,diretso,diretso,diretso,train
ds,this,this,this,train
dto,dito,dito,dito,train
dyn,diyan,diyan,diyan,train
dyos,diyos,Diyos,diyos,train
esave,isave,isip,isave,train
f0r,for,for,for,train
frm,from,from,from,train
gbi,gabi,gabi,gabi,train
ggwin,gagawin,gagawin,gagawin,train
gnabi,ginabi,ginabi,ginabi,train
gnagawa,ginagawa,ginagawa,ginagawa,train
gnawa,ginawa,ginawa,ginawa,train
