Cutoff,Time,Accuracy,Substring,DLD
10,0.01005640983581543,0.55,2,True
20,0.008663125038146972,0.61,2,True
30,0.008629612922668457,0.63,2,True
40,0.008629088401794433,0.63,2,True
50,0.008702247142791749,0.63,2,True
100,0.008687856197357178,0.67,2,True
200,0.008776752948760987,0.66,2,True
300,0.008760428428649903,0.66,2,True
400,0.00877497911453247,0.66,2,True
10,0.017638342380523683,0.3,3,True
20,0.018758301734924317,0.48,3,True
30,0.01925480842590332,0.56,3,True
40,0.02061550855636597,0.59,3,True
50,0.01958130121231079,0.6,3,True
100,0.021193099021911622,0.64,3,True
200,0.02247715950012207,0.64,3,True
300,0.023029325008392335,0.64,3,True
400,0.0233829402923584,0.65,3,True
10,0.00019199371337890624,0.44,2,False
20,0.00023162126541137696,0.46,2,False
30,0.0002592301368713379,0.46,2,False
40,0.0002811574935913086,0.46,2,False
50,0.00029134273529052735,0.46,2,False
100,0.0003260946273803711,0.47,2,False
200,0.0003595471382141113,0.46,2,False
300,0.00036600351333618167,0.46,2,False
400,0.00037618160247802733,0.46,2,False
10,0.009452149868011475,0.18,3,False
20,0.011408741474151612,0.37,3,False
30,0.012063770294189454,0.37,3,False
40,0.013125312328338624,0.37,3,False
50,0.013281421661376953,0.37,3,False
100,0.014636526107788086,0.32,3,False
200,0.01608661413192749,0.3,3,False
300,0.01643939971923828,0.28,3,False
400,0.01712158203125,0.28,3,False
